"MgO" "Al2O3" "SiO2" "P2O5" "S" "Cl" "K2O" "CaO" "Ti" "V" "Cr" "Mn" "Fe" "Co" "Ni" "Cu" "Zn" "As" "Se" "Rb" "Sr" "Y" "Zr" "Nb" "Mo" "Rh" "Pd" "Ag" "Cd" "Sn" "Sb" "Ba" "La" "Ce" "Hf" "Ta" "W" "Pt" "Au" "Hg" "Tl" "Pb" "Bi" "Th" "U"
"11" 0.0746971908529871 0.541613191598587 0.688621314482573 0.0894052776683734 0.00169474116680362 0.0853850183342064 0.6410917866356 0.149151068443191 0.801471818029771 0.0206611570247934 NA 0.43294701986755 0.559094397544129 NA 0.4375 0.091743119266055 0.216216216216216 0.05 NA 0.527777777777778 0.0333710407239819 0.4 0.365384615384615 0.181818181818182 NA NA NA NA NA NA NA 0.099250936329588 NA NA NA NA NA NA NA NA NA 0.0252100840336134 NA NA NA
"12" 0.061483700801516 0.36083943317903 0.575108496264149 0.0803465931469082 NA 0.0578837087480356 0.526753765498877 0.0313464912616747 0.54808496404081 0.0619834710743802 NA 0.303807947019868 0.486687525827971 NA 0.34375 0.055045871559633 0.351351351351351 0.15 NA 0.527777777777778 0.0203619909502262 0.52 0.223076923076923 0.363636363636364 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" 0.22369465570664 0.64830369708181 0.897521363697374 0.0823946435604569 NA 0.0306443163960189 0.705334110010818 0.106802179026487 0.628031443385181 0.194214876033058 0.542372881355932 0.257450331125828 0.502509002892733 NA 0.1875 0.091743119266055 0.148648648648649 0.15 NA 0.305555555555556 0.0294117647058823 0.24 0.323076923076923 0.181818181818182 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" 0.256254641366418 0.69568334498721 0.840193578214248 0.0739661283970067 0.00236236647493837 0.0602409638554217 0.741865690272114 0.112542810515105 0.684228131794614 0 NA 0.36341059602649 0.686640297538225 NA 0.25 0.073394495412844 0.202702702702703 0.25 NA 0.5 0.039027149321267 0.32 0.353846153846154 0.181818181818182 0.285714285714286 NA NA NA NA NA NA 0.129213483146067 NA NA NA 0.5 NA NA NA NA NA NA NA NA NA
"15" 0.104798852782259 0.535293544932334 0.74809851908192 0.0594722331626625 0.0032354149548069 0.0599790466212677 0.596488308230008 0.117137997349004 0.56196688409433 0.18595041322314 NA 0.321192052980132 0.505431253320739 NA 0.34375 0.073394495412844 0.162162162162162 0.05 NA 0.416666666666667 0.0808823529411765 0.4 0.407692307692308 0.181818181818182 NA NA NA 0.0476190476190476 NA NA NA NA NA NA NA NA NA NA NA NA NA 0.0084033613445378 NA NA NA
"16" 0.0936083583006837 0.351607792460679 0.615755447183571 0.0352107128790863 NA 0.072027239392352 0.398934842306732 0.0714772788219159 0.449239003177789 0.0413223140495868 NA 0.245033112582781 0.342346065293111 NA 0.15625 0.0275229357798165 0.162162162162162 NA NA 0.305555555555556 0.0260180995475113 0.24 0.276923076923077 0.272727272727273 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" 0.0402166397787509 0.27639160566821 0.499558185316093 0.0166994879873966 0.000154067378800329 0.0864326872708224 0.387118249147042 0.0817288169357248 0.43803311590567 0.132231404958678 NA 0.144039735099338 0.372926382903359 NA 0.21875 0.100917431192661 0.216216216216216 0 NA 0.472222222222222 0.040158371040724 0.2 0.373076923076923 0.363636363636364 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" 0.159534967094313 0.217824235933476 0.391158859409721 0.0206380464749902 NA 0.0628601361969618 0.306898560372805 0.05719944528299 0.402742933600937 0.18595041322314 NA 0.123344370860927 0.251431607532912 NA 0.34375 0.091743119266055 0.189189189189189 0.05 NA 0.333333333333333 0.0305429864253394 NA 0.35 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" 0.0618806176538373 0.180419716589515 0.395690722264477 0.00866482867270579 NA 0.0531691985332635 0.300407755679454 0.0538588842832734 0.360260913196187 NA NA 0.158112582781457 0.284373339630439 NA 0.4375 0.055045871559633 0.175675675675676 0 NA 0.388888888888889 0.0316742081447964 0.12 0.396153846153846 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" 0.232644490538014 0.688213062373319 0.834627086036419 0.101851122489169 0.0137119967132293 0.0785751702462022 0.740118165931597 0.132323758590835 0.686736912527178 0.115702479338843 NA 0.313741721854305 0.607916642068599 NA 0.375 0.128440366972477 0.22972972972973 0.25 NA 0.5 0.0316742081447964 0.4 0.45 0.0909090909090909 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
