"Sample" "Al2O3" "P2O5" "CaO" "Ti" "Mn" "Fe" "Cu" "Zn" "Sr" "Zr"
"30" "4w" 0.884437957912201 -0.629341555287344 -0.601089632098734 0.619892301396559 0.108611904144107 0.687446069978987 -0.798990647204074 -0.338294357716257 -0.581385720452152 -0.219892784142318
"31" "5" 1.1201437734241 -0.473887133968418 -0.4109701200337 0.688475851846331 0.531900609350901 0.686031093730861 -0.524462853009697 -0.521120105278889 -0.441727906960108 -0.179058746287357
"32" "5w" 0.113121959224347 -0.673147000541264 -0.582386054263727 0.0665937846878544 -0.283854807965104 -0.00194011656472803 -0.873861863802541 -0.573356033153927 -0.548965156605785 -0.444479992344604
"33" "6" -0.582692925312717 -0.695842857970872 -0.600135485227003 -0.322335716596926 -0.534540351825438 -0.51713784773573 -0.574376997408674 -0.416648249528814 -0.519038482286061 -0.328783551755548
"34" "6aw" 0.698434247292308 -0.582241550083965 -0.746956272082723 0.217651224918997 -0.0927584507600954 0.0352396041618848 -0.848904791603052 -0.651709924966484 -0.598011650629777 -0.846014697918389
"35" "6bw" 0.580931354359544 -0.668510212464248 -0.885525987647062 0.0958213736980946 -0.0290596650250924 -0.0363874693639255 -0.798990647204074 -0.73006381677904 -0.588867389032083 -0.124613362480742
"36" "6p" 1.16691450417194 -0.541242581824028 -0.667193042329681 0.382888386551146 0.24217387423363 0.512769691762093 -0.873861863802541 -0.547238069216408 -0.574735348381103 -0.553370759957834
"37" "7" -0.0603249696138522 -0.606645697857736 -0.561423562449261 -0.0291916802862989 -0.220156022230101 -0.176470117928368 -0.499505780810208 -0.49500214134137 -0.532339226428161 -0.0769736516499539
"38" "7aw" 1.24594493445649 -0.505490505335452 -0.344194208694364 0.536550265406964 0.49902381671348 0.806548036243635 -0.699162358406119 -0.547238069216408 -0.520701075303823 -0.335589224731374
"39" "7bw" 0.754655378266096 -0.648254769812017 -0.517072976531954 1.33842797973741 1.00450450351383 1.40688830372427 -0.474548708610719 0.41912659647179 -0.507400331161724 1.0527680623373
"40" "7p" 1.19603865425097 -0.559667713393226 -0.498228575815275 0.897409705959137 0.827791743087688 1.13067518163325 -0.574376997408675 -0.364412321653776 -0.529845336901517 -0.00211124891585848
"41" "8" 0.95658476334082 -0.504392318685633 -0.450311434874421 0.470281771512459 0.488749819014286 0.434506867555417 -0.324806275413786 -0.49500214134137 -0.499087366072912 -0.192670092239011
"42" "8w" 0.0746203286742041 -0.639103214396853 -0.503838499591233 0.0434432191351891 -0.140018840176388 -0.166858037897997 -0.699162358406119 -0.547238069216408 -0.575566644889984 -1.14546430885477
"43" "9" 0.0661616371139455 -0.423004485860104 -0.680154495316142 0.379126419648838 0.872997332964142 0.632554750008594 -0.374720419812764 0.628070307971941 -0.524026261339348 -0.30156085985224
"44" "9w" 1.11076629295298 -0.679614099701314 -0.68155122838741 1.12341710216703 0.303817860428794 0.516965828222052 -0.749076502805097 -0.73006381677904 -0.499087366072912 0.712484413545961
"45" "B 1061" -0.970319758037049 0.155129774900549 0.389628079820891 -0.587988456313762 -0.550978748144148 -0.575688589037482 0.274163457373947 -0.703945852841521 0.175925399138636 0.208864613334774
"46" "B 1063" -0.67140709903867 -0.0743912349117746 0.613685906368655 -0.481206472702092 -0.372211188178173 -0.0795686410739679 0.373991746171903 -0.860653636466635 -0.300407500450301 -0.458091338296258
"47" "B 1075" -0.796012376091859 -0.131496940702401 0.2617867686908 -0.345775664218999 -0.400978381735916 1.77209855259395 0.0994639519775251 -0.834535672529116 -0.352779180509818 -0.621427489716103
"48" "B 1076" -0.610971206235719 -0.371999817012921 -0.104576890690127 0.0706451336595709 -0.0927584507600954 0.572832993880807 0.124421024177014 -0.129350646216106 -0.345297511929887 0.168030575479813
"49" "B 1142" 0.029716343650004 -0.59981253648108 -0.548439117971915 0.12070823166721 -0.333169996921235 -0.125970103555607 -0.499505780810208 -0.49500214134137 -0.510725517197249 -0.451285665320431
"50" "B 1143" 1.85199560079805 0.0993662972374802 0.419186515290014 2.31277740743522 1.71751994383789 2.33155088573219 1.17261805655555 0.236300848909158 0.0179790624512047 2.3934856385752
"51" "B 1144" -0.860269264047892 -0.453509670577319 -0.0969695811435281 -0.424198205028654 -0.458512768851402 -0.347584659382739 0.099463951977525 -0.547238069216408 -0.0352239141171932 -0.117807689504915
"52" "B 1641" -0.283021900864108 0.541447434159355 0.481177322588894 0.963388817784233 -0.246868416248006 -0.124603919591899 1.39723170635095 2.58691760328586 1.1335789773698 0.916654602820767
"53" "B 1641 %" 0.0697055371986746 0.774140983182269 0.697349067763077 0.568382293041878 -0.524266354126244 -0.219992835629337 1.37227463415146 1.25490144247239 1.81773600417904 0.692067394618481
"54" "B 1647" -0.959017196038428 -0.257178301737325 -0.468167201483042 0.0422856908575558 -0.409197579895271 -0.532214663620931 -0.100192625618386 0.314654740721715 -0.366079924651917 1.16165882995053
"55" "B 1647 %" -0.532976236469749 -0.141746682767385 -0.237243540969723 0.202313975240356 0.437379830518316 -0.0868386914522688 0.0495498075785474 0.262418812846677 -0.3270089887345 0.596787972956905
"56" "B 1655" -1.46812834030923 1.27833067618839 0.839327271851128 -1.48391534320192 -0.657828324215766 -1.42755308269356 1.19757512875504 1.93396850484788 1.09201415192574 0.746512778425096
"57" "B 1655 %" -0.723296796575567 1.67099341386838 0.76103262357837 -0.608823965311161 0.0695707128871702 -0.527433019747955 1.39723170635095 2.090676288473 0.934899111747186 0.896237583893287
"58" "B 1656" -1.08139112859382 -0.135645645823942 -0.419635038161012 -0.278639024116269 0.872997332964142 -0.101378792208871 0.199292240775481 2.11679425241052 0.00467831830910528 2.46834804130929
"59" "B 1656 %" -0.818398740824612 0.282397405540768 -0.0916815382399612 0.210995437322605 2.10587705686742 0.373272550610668 0.199292240775481 1.43772719003503 -0.0277422455372622 2.01917362490472
"60" "B 1658" -0.755002305975571 -0.176156531128403 -0.271920457097135 -0.207451035041823 0.071625512427009 -0.202378820954393 0.249206385174458 0.810896055534573 -0.20397710542008 1.5836105544518
"61" "B 1658 %" -0.686428568533612 0.51631116195237 0.859148810930422 -0.257514133049462 -0.146183238795904 -0.0583439973520828 0.448862962770369 0.210182884971639 -0.195664140331268 1.03235104340982
"62" "B 1666" -0.453377032097522 1.91466882938949 3.0102844289924 -1.61703109512974 -1.24961059168934 -1.47263715349591 3.39379748231006 -0.96512549221671 3.3107445341297 0.950682967699902
"63" "B 1666 %" -1.14284789796439 0.759376473779137 1.20231118207195 -1.6121115999498 -1.23522699491047 -1.68317586076013 2.34560044993152 -0.2599404659037 2.75710105921481 0.290532689044696
"64" "B 1666_2" 0.395263074611868 1.36618560817397 1.93098625056531 3.59087239413617e-05 0.122995500922979 -0.449755702954297 1.89637315034072 -0.442766213466333 3.08463188371401 0.549148262126117
"65" "B 1666_3" -0.137124055400613 1.70113253636899 2.00915731957456 -0.544870527971922 -0.499608759648178 -0.970954885108728 1.2724463453535 -0.651709924966484 2.87098868093154 0.494702878319502
"66" "B 1666_4" -1.52316817125478 1.04026821465525 2.05210255061152 -2.00682874262275 -1.35440536822112 -1.78090680644963 1.0478326955581 -0.860653636466635 2.68477826294215 0.365395091778792
"67" "B 1668" -1.49400026932285 0.62112697664072 0.478303386228259 -1.27527087115852 0.661352980360745 -1.38266418102888 0.823219045762702 1.38549126215999 1.42868923802263 1.27054959756376
"68" "B 1668 %" -1.19012906699604 1.3938843158972 1.43528683314676 -1.1736977647962 1.89423270426403 -1.17744383276624 1.12270391215657 1.20266551459736 1.57832260962125 0.821375181159191
"69" "B 1671" -0.753835589898293 -0.0393712828564121 -0.304950607689904 0.283051572605277 -0.0845392526007402 -0.170517459229356 0.349034673972414 0.732542163722017 -0.10172763482769 1.59722190040345
"70" "B 1671 %" -0.0830467652188225 0.0725217346863313 -0.455197126687499 0.667640342848932 0.597654194625742 0.228164296751158 0.598605395967302 0.967603839159687 -0.163243576484901 1.31818930839455
"71" "B 20023" -0.0243171946788892 -0.608231967463031 -0.778776495467665 -0.180827884656258 -0.583855540781569 -0.61482000114082 -0.973690152600497 -0.703945852841521 -0.609649801754114 -0.64865018161941
"72" "B 20046" 0.246331767347453 -0.597128080225965 -0.826567183208651 -0.455451468524752 0.916148123300757 -0.563539310217369 -0.973690152600496 -0.808417708591597 -0.622950545896213 -0.961711138507445
"73" "B 20057" 0.187091758523711 -0.643495960996132 -0.46544270981316 -0.123240852844002 -0.127690042937355 -0.0512203238270361 -0.749076502805097 -0.651709924966484 -0.567253679801172 -0.75754094923264
"74" "B 2285" -0.0250755601291193 2.36846395724278 1.54670647191219 -0.046554604450798 0.554503404289128 -0.521577945617779 1.34731756195197 0.575834380096903 1.80111007400141 0.41303480260958
"75" "B 2285 %" 0.355098873651606 2.69755388997209 1.78124554436718 0.127074637194193 0.180529888038466 -0.342022338959072 1.29740341755299 0.340772704659233 1.69969189991791 0.0591398078665832
"76" "B 50259" -0.27842795630983 -0.407873914240365 -0.439603147994698 -0.230022836455672 -0.329060397841558 -0.416479364981134 -0.524462853009697 -0.468884177403852 -0.48412402891305 0.256504324165562
"77" "B 50299" 1.67701735710843 -0.423370548076711 -0.594516939641964 0.879757399725229 1.6702595544216 1.57273327846148 -0.499505780810208 0.131828993159083 -0.555615528676835 -0.253921149021452
"78" "Hell MB" 0.718399676164712 -0.423004485860104 -0.776129600079521 0.550729986807971 0.112721503223785 0.281738225042262 -0.749076502805097 -0.468884177403852 -0.541483488025854 -0.145030381408222
"79" "RLZ_1" 0.724262424453029 -0.221426225248749 -0.169277819977085 1.65038185055958 -0.113306446158483 1.11193894441669 -0.125149697817875 0.366890668596752 -0.502412552108437 1.61083324635511
"80" "RLZ_2" -0.0613750140834014 -0.330634786536378 -0.394324280632906 0.660116409044316 -0.218101222690262 0.305256106131799 -0.299849203214297 0.262418812846677 -0.505737738143962 1.43388574898361
"81" "RLZ_3" 0.127997589209629 -0.537581959657962 -0.534468913322873 0.666772196640707 0.558613003368805 0.326919880413447 -0.699162358406119 -0.0509967544035496 -0.521532371812705 1.025545370434
"82" "RLZ_4" 0.245865080916542 -0.381395413905823 -0.48968723695147 0.741432770548053 -0.183169630513003 0.363074963167279 -0.499505780810208 1.48996311791006 -0.501581255599556 1.61083324635511
"83" "TI-1" -1.57416824778275 0.440780324592547 1.81441651784162 -2.24007069056585 -1.6975568913742 -1.72757683958062 0.87313319016168 -1.14795123977934 1.11445915766553 -1.4313025738395
"84" "TI-10" -1.35669237097831 1.2696672037287 2.02491223870356 -2.08959201447353 -1.56194012174484 -1.69103141855145 1.0478326955581 -0.547238069216408 0.692991827662752 -1.79200324155832
"85" "TI-2" -1.5073883363096 1.15435760549763 3.17498110001126 -2.44032308259641 -1.62563890747984 -1.53904345258898 0.948004406760147 -1.25242309552942 0.806879449379479 -1.80561458750998
"86" "TI-3" -0.262327274443406 3.19442233864608 1.34493602184114 -0.422172530542795 -0.460567568391241 0.255341599172055 1.74663071714379 2.48244574753578 0.496805851566785 -0.587399124836968
"87" "TI-4" 0.0189242199351912 2.97576117459309 1.22428817342172 -0.118031975594653 -0.0824844530609013 0.715696802657082 2.1709009445351 2.45632778359826 0.452747136596081 -0.430868646392951
"88" "TI-5" -0.637805676013091 0.65321843096323 1.50525856171912 -0.502910127907716 -1.28248738432676 -0.481812233817006 0.473820034969858 0.210182884971639 0.301451171979699 -0.927682773628311
"89" "TI-6" -1.43149345548273 0.518995618207485 1.29487492437526 -1.86300585412681 -1.58043331760339 -1.66409807755264 0.972961478959636 -0.338294357716257 1.34805347666115 -1.30880046027462
"90" "TI-7" -0.915017415974117 2.32356032533904 1.16069945750633 -0.936404467881377 -1.10371982436079 -0.809452423684728 1.0478326955581 1.35937329822247 0.590742357070363 -1.08421325207233
"91" "TI-8" -0.733272219036286 1.96018256498758 1.16141506766012 -0.960133797572859 -0.598239137560441 -0.304403487672697 1.0478326955581 2.29961999997315 0.589911060561482 -0.784763641135947
